,Lines,Lon,VehicleNumber,Time,Lat,Brigade,nearest_stop,distance_to_stop,is_at_stop
0,219,21.187831,1000,2024-02-19 10:18:49,52.183979,1,2043,9.849486752210774,yes
1,219,21.1025036,1001,2024-02-19 10:19:06,52.2227523,3,2148,13.88133539154847,yes
2,213,21.116943,1002,2024-02-19 02:57:59,52.234666,1,R-10,199.49783392468206,no
3,219,21.1094618,1003,2024-02-19 10:19:04,52.2166761,2,2421,9.758790750445279,yes
4,213,21.102139,1004,2024-02-19 10:18:59,52.222619,3,2148,23.849775643536145,no
5,213,21.1727388,1005,2024-02-19 10:19:06,52.1883365,4,2373,18.209812673046773,no
6,119,21.114108,1006,2024-02-19 07:03:08,52.234278,3,R-10,35.761676375438775,no
7,213,21.2071543,1007,2024-02-19 10:19:09,52.1829531,1,2179,17.60046931415456,no
8,L-8,20.9376298,10071,2024-02-19 10:19:09,52.394668,1,,,no
9,L31,21.0337351,10072,2024-02-19 10:19:06,52.4242733,1,,,no
10,L49,20.9424076,10073,2024-02-19 10:19:06,52.348514,1,1317,27.97686452212129,no
11,L24,21.0436911,10074,2024-02-19 10:19:06,52.0604633,696,3729,17.409120210722634,no
12,L-8,21.0572733,10075,2024-02-19 10:19:07,52.4100706,02,,,no
13,311,21.0805,1008,2024-02-19 10:19:08,52.2415858,502,,,no
14,213,21.097252,1009,2024-02-19 10:19:08,52.2268943,2,2149,188.1715798913597,no
15,311,21.1026283,1010,2024-02-19 10:19:12,52.2224083,501,,,no
16,213,21.114953,1011,2024-02-14 18:50:46,52.234814,2,R-10,105.77405028745797,no
17,213,21.188758,1012,2024-02-19 10:18:52,52.14985,5,2057,3.6992282483056886,yes
18,196,21.115078,1013,2024-02-19 09:50:04,52.234633,03,2070,3989.4939302210614,no
19,311,21.073408,1014,2024-02-19 10:19:07,52.254388,503,,,no
20,339,20.99515,1020,2024-02-19 10:11:08,52.188416,01,,,no
21,192,21.0383612,1021,2024-02-19 10:19:09,52.1461911,1,,,no
22,107,21.085129,1022,2024-02-19 10:19:06,52.193401,3,3079,7.232616581189381,yes
23,208,20.9959047,1023,2024-02-19 10:19:08,52.1883057,06,R-07,30.23365325316374,no
24,192,21.024059,1024,2024-02-19 10:19:08,52.179989,5,,,no
25,107,20.994529,1025,2024-02-19 10:19:08,52.2458857,9,7024,181.36356126677296,no
26,263,21.046898,1026,2024-02-19 10:19:09,52.150867,06,3138,6.443853997906203,yes
27,339,20.9969499,1027,2024-02-19 10:19:09,52.1869982,02,,,no
28,208,20.996412,1028,2024-02-19 09:40:16,52.186035,04,R-07,275.67301206273925,no
29,163,20.996223,1029,2024-02-19 09:24:16,52.186935,01,,,no
30,107,20.979359,1030,2024-02-19 10:19:07,52.244545,7,5157,10.889093192807017,yes
31,208,20.9683752,1031,2024-02-19 10:19:09,52.2070084,05,4006,269.66008881896994,no
32,164,20.995199,1032,2024-02-19 09:54:35,52.188313,05,R-07,71.71740329560811,no
33,163,20.997379,1033,2024-02-19 10:19:06,52.186386,03,,,no
34,192,20.9959734,1034,2024-02-19 10:19:09,52.1863877,2,,,no
35,108,21.02605,1035,2024-02-19 09:19:00,52.178631,399,3037,41.60657103054044,no
36,192,20.9951784,1036,2024-02-19 09:47:59,52.1882579,06,,,no
37,208,20.9699917,1037,2024-02-19 10:19:09,52.2033287,03,4007,49.17387282230174,no
38,164,20.9979079,1038,2024-02-19 10:07:53,52.1864055,04,R-07,260.9430218686472,no
39,200,21.006908,1039,2024-02-19 10:19:05,52.210148,1,3228,165.46233083285162,no
40,204,21.045258,1040,2024-02-19 09:51:28,52.264473,04,R-13,203.48598051148826,no
41,107,21.046568,1041,2024-02-15 07:45:40,52.263918,2,R-13,95.96686804592376,no
42,204,21.045004,1042,2024-02-19 09:26:59,52.264573,05,R-13,224.04868941426767,no
43,204,21.04548,1043,2024-02-19 08:59:30,52.264454,03,R-13,189.27143112488665,no
44,107,21.0476,1044,2024-02-19 10:19:03,52.1954517,2,3325,61.08104691147074,no
45,107,21.056015,1045,2024-02-19 10:19:09,52.1933417,4,3062,117.73555960083833,no
46,107,20.978903,1046,2024-02-19 10:19:05,52.244853,8,5157,50.74818059455177,no
47,204,21.047814,1048,2024-02-19 08:29:52,52.264215,04,R-13,65.40005300342867,no
48,212,21.046661,1049,2024-02-19 08:52:19,52.264023,1,R-13,95.45776831866291,no
49,208,20.9630017,1050,2024-02-19 10:19:05,52.2013583,591,4310,74.49430981118027,no
50,228,20.896045,1051,2024-02-19 10:19:03,52.202176,1,4216,56.39812279927133,no
51,228,20.914071,1052,2024-02-19 10:18:51,52.209556,2,4213,56.60384610801804,no
52,191,20.921379,1053,2024-02-19 07:16:58,52.196853,591,R-11,97.45910637664723,no
53,228,20.979151,1054,2024-02-19 10:18:57,52.184163,3,4037,10.861126275089935,yes
54,207,20.894696,1055,2024-02-19 10:18:51,52.200138,1,4216,118.13500744669197,no
55,207,20.918528,1056,2024-02-13 08:52:19,52.196728,4,R-11,288.7372581976896,no
56,208,20.9222283,1057,2024-02-19 06:12:41,52.1962317,591,R-11,51.69048381512091,no
57,207,20.919635,1058,2024-02-13 07:31:20,52.1969033,3,R-11,215.2933715166646,no
58,208,20.9752116,1059,2024-02-19 10:19:03,52.21153,2,4005,16.15868540939934,no
59,192,21.0661814,1060,2024-02-19 10:19:09,52.1308314,3,,,no
60,192,21.067156,1061,2024-02-19 10:19:05,52.129879,2,,,no
61,263,21.0576159,1062,2024-02-19 10:19:09,52.1482827,4,3208,89.95008772502645,no
62,107,21.045431,1063,2024-02-19 10:19:06,52.220001,1,7075,30.57361748278483,no
63,339,20.99592,1064,2024-02-19 10:19:08,52.186459,03,,,no
64,108,21.078745,1065,2024-02-19 10:19:07,52.199905,5,3075,77.35679193063892,no
65,108,21.031748,1066,2024-02-19 10:19:05,52.177559,3,3038,129.16690242713943,no
66,209,20.9962317,1067,2024-02-19 10:19:05,52.1885989,776,R-07,8.739875936935118,yes
67,163,20.9966929,1068,2024-02-19 10:19:08,52.1877784,02,,,no
68,107,21.0106109,1069,2024-02-19 10:19:06,52.2317344,6,7013,43.24213152807008,no
69,108,21.084827,1070,2024-02-19 10:19:01,52.197536,2,3077,7.895709035814593,yes
70,108,21.022707,1071,2024-02-19 10:19:06,52.229824,1,7040,93.83750313637567,no
71,108,21.026037,1072,2024-02-19 10:19:07,52.17878,4,3037,43.581370154856764,no
72,239,20.9973991,1073,2024-02-19 10:08:49,52.1875382,777,R-07,134.03953722013938,no
73,200,21.1184536,1074,2024-02-19 10:19:09,52.0793596,2,3181,48.09954269103969,no
74,108,20.9952115,1075,2024-02-19 05:21:38,52.1883152,5,R-07,70.82858415467172,no
75,218,20.997974,1076,2024-02-19 10:19:08,52.186306,2,R-07,272.884854171926,no
76,192,20.995195,1077,2024-02-19 05:44:53,52.18824,M3,,,no
77,192,21.042427,1078,2024-02-19 10:19:09,52.154869,4,,,no
78,108,20.9970122,1079,2024-02-19 08:56:07,52.1878694,3,R-07,88.67607844115442,no
79,170,21.022002,1101,2024-02-19 10:19:05,52.2622991,3,1006,32.17998227537786,no
80,118,21.0155641,1102,2024-02-19 10:18:59,52.2190241,1,7006,19.827910363577537,no
81,170,21.037174,1106,2024-02-19 10:19:03,52.2524033,2,1002,84.02246094562126,no
82,303,20.9441583,1109,2024-02-19 10:18:59,52.2773783,1,,,no
83,123,21.0599796,1110,2024-02-19 10:19:05,52.234377,3,2139,74.63381263794128,no
84,117,21.0973281,1112,2024-02-19 10:19:03,52.2211976,06,2269,1.3326520517218476,yes
85,338,21.044893,1115,2024-02-19 09:45:06,52.264654,02,,,no
86,126,20.9980128,1117,2024-02-19 10:19:08,52.319279,3,1097,26.604420191404206,no
87,197,20.9972383,1118,2024-02-19 10:19:03,52.2706511,010,6082,2331.8695566631745,no
88,169,21.035326,1119,2024-02-19 10:19:05,52.259731,5,1072,80.73202875361534,no
89,L27,21.1646778,11201,2024-02-19 10:17:28,52.3127015,1,,,no
90,L27,21.2142091,11202,2024-02-19 10:18:29,52.3401123,2,,,no
91,166,20.9970032,1200,2024-02-19 08:32:40,52.1878902,6,,,no
92,263,21.107107,1201,2024-02-19 10:19:08,52.176285,5,3198,2.5001910893434385,yes
93,739,20.995586,1202,2024-02-19 10:19:05,52.186607,07,R-07,215.73637601728007,no
94,166,21.062727,1203,2024-02-19 10:19:05,52.145985,661,,,no
95,106,21.012226,1204,2024-02-19 10:19:06,52.239914,6,7028,70.7438666673331,no
96,118,21.0156347,1205,2024-02-19 10:19:08,52.219237,4,7006,4.690299144550765,yes
97,218,21.023434,1206,2024-02-19 10:19:08,52.179951,5,3009,19.71909153300728,no
98,218,21.0247187,1207,2024-02-19 10:19:09,52.1908355,2,3007,8.669355355171332,yes
99,263,21.0490514,1208,2024-02-19 10:19:08,52.1783432,1,3094,14.728568207488266,yes
