,zespol,slupek,nazwa_zespolu,id_ulicy,szer_geo,dlug_geo,kierunek,obowiazuje_od
0,1001,01,Kijowska,2201,52.248455,21.044827,al.Zieleniecka,2023-10-14 00:00:00.0
1,1001,02,Kijowska,2201,52.249078,21.044443,Ząbkowska,2023-10-14 00:00:00.0
2,1001,03,Kijowska,2201,52.248928,21.044169,al.Zieleniecka,2023-10-14 00:00:00.0
3,1001,04,Kijowska,2201,52.249969,21.041588,Ząbkowska,2023-10-14 00:00:00.0
4,1001,05,Kijowska,1203,52.250319,21.043861,al.Zieleniecka,2023-10-14 00:00:00.0
5,1001,06,Kijowska,1203,52.250078,21.043848,Dw.Wschodni (Kijowska),2023-10-14 00:00:00.0
6,1001,07,Kijowska,1203,52.250228,21.043690,Ząbkowska,2023-10-14 00:00:00.0
7,1001,08,Kijowska,1203,52.249944,21.044087,Dw.Wschodni (Kijowska),2023-10-14 00:00:00.0
8,1001,88,Kijowska,1203,52.249944,21.044087,Dw.Wschodni (Kijowska),2023-10-14 00:00:00.0
9,1002,01,Ząbkowska,2201,52.251325,21.038457,Kijowska,2023-10-14 00:00:00.0
10,1002,02,Ząbkowska,2201,52.251790,21.038592,Dw.Wileński,2023-10-14 00:00:00.0
11,1002,03,Ząbkowska,2201,52.251583,21.038448,Kijowska,2023-10-14 00:00:00.0
12,1002,04,Ząbkowska,2201,52.251944,21.037888,Dw.Wileński,2023-10-14 00:00:00.0
13,1002,06,Ząbkowska,2201,52.253108,21.036732,Dw.Wileński,2023-10-14 00:00:00.0
14,1003,01,Dw.Wileński,2201,52.253739,21.035454,Ząbkowska,2023-10-14 00:00:00.0
15,1003,02,Dw.Wileński,2201,52.255298,21.034611,Wileńska,2023-10-14 00:00:00.0
16,1003,03,Dw.Wileński,0123,52.254118,21.033248,Park Praski,2023-10-14 00:00:00.0
17,1003,04,Dw.Wileński,0123,52.255099,21.036174,Szwedzka,2023-10-14 00:00:00.0
18,1003,05,Dw.Wileński,0123,52.254287,21.033324,Park Praski,2023-10-14 00:00:00.0
19,1003,06,Dw.Wileński,0123,52.256048,21.038309,______________________________,2023-10-14 00:00:00.0
20,1003,07,Dw.Wileński,2201,52.253857,21.035613,Ząbkowska,2023-10-14 00:00:00.0
21,1003,08,Dw.Wileński,2201,52.255370,21.034193,11 Listopada,2023-10-14 00:00:00.0
22,1003,09,Dw.Wileński,2501,52.255999,21.035241,Targowa,2023-10-14 00:00:00.0
23,1003,10,Dw.Wileński,2501,52.255856,21.035227,______________________________,2023-10-14 00:00:00.0
24,1003,11,Dw.Wileński,null,52.256139,21.035580,null,2023-10-14 00:00:00.0
25,1003,12,Dw.Wileński,2501,52.255985,21.035521,______________________________,2023-10-14 00:00:00.0
26,1003,13,Dw.Wileński,null,52.256291,21.035926,null,2023-10-14 00:00:00.0
27,1003,14,Dw.Wileński,2501,52.256246,21.036138,______________________________,2023-10-14 00:00:00.0
28,1003,71,Dw.Wileński,null,52.252163,21.034572,null,2023-10-14 00:00:00.0
29,1003,72,Dw.Wileński,null,52.252959,21.036882,null,2023-10-14 00:00:00.0
30,1003,73,Dw.Wileński,null,52.251864,21.035170,null,2023-10-14 00:00:00.0
31,1004,01,Ratuszowa-ZOO,1101,52.256614,21.028536,Dw.Wileński,2023-10-14 00:00:00.0
32,1004,02,Ratuszowa-ZOO,1101,52.257011,21.028103,pl.Hallera,2023-10-14 00:00:00.0
33,1004,03,Ratuszowa-ZOO,1101,52.255617,21.030154,______________________________,2023-10-14 00:00:00.0
34,1004,04,Ratuszowa-ZOO,null,52.255951,21.027758,null,2023-10-14 00:00:00.0
35,1004,05,Ratuszowa-ZOO,null,52.255816,21.029591,Ratuszowa,2023-10-14 00:00:00.0
36,1004,06,Ratuszowa-ZOO,null,52.255522,21.029812,______________________________,2023-10-14 00:00:00.0
37,1004,71,Ratuszowa-ZOO,null,52.255870,21.029455,______________________________,2023-10-14 00:00:00.0
38,1005,01,pl.Hallera,1101,52.258094,21.027097,św.Cyryla i Metodego,2023-10-14 00:00:00.0
39,1005,02,pl.Hallera,1101,52.260034,21.024845,______________________________,2023-10-14 00:00:00.0
