nearest_stop,Total Violations,Total Measurements,Violation Percentage
1006,8.0,9,88.88888888888889
1008,1.0,4,25.0
1010,4.0,4,100.0
1013,20.0,26,76.92307692307693
1014,11.0,8,137.5
1015,3.0,8,37.5
1016,11.0,29,37.93103448275862
1018,2.0,13,15.384615384615385
1019,8.0,10,80.0
1037,1.0,1,100.0
1047,1.0,3,33.33333333333333
1054,5.0,9,55.55555555555556
1058,2.0,8,25.0
1086,2.0,4,50.0
1092,1.0,2,50.0
1121,1.0,2,50.0
1123,1.0,1,100.0
1135,1.0,1,100.0
1157,1.0,8,12.5
1159,5.0,12,41.66666666666667
1163,1.0,2,50.0
1187,1.0,2,50.0
1205,2.0,5,40.0
1221,4.0,5,80.0
1232,1.0,7,14.285714285714285
1235,1.0,7,14.285714285714285
1258,4.0,4,100.0
1260,5.0,6,83.33333333333334
1265,1.0,1,100.0
1266,1.0,1,100.0
1268,1.0,1,100.0
1269,1.0,1,100.0
1271,1.0,1,100.0
1279,3.0,8,37.5
1280,1.0,9,11.11111111111111
1281,4.0,5,80.0
1297,1.0,1,100.0
1301,3.0,8,37.5
1314,1.0,2,50.0
1351,1.0,1,100.0
1364,1.0,1,100.0
1366,1.0,3,33.33333333333333
1371,1.0,2,50.0
1393,1.0,1,100.0
1447,2.0,2,100.0
1448,3.0,2,150.0
1450,1.0,2,50.0
1451,2.0,2,100.0
1472,3.0,2,150.0
1478,1.0,1,100.0
1498,1.0,2,50.0
1499,1.0,2,50.0
1514,1.0,2,50.0
1528,3.0,7,42.857142857142854
1529,1.0,3,33.33333333333333
1589,1.0,2,50.0
1736,1.0,2,50.0
1946,2.0,2,100.0
2001,4.0,17,23.52941176470588
2012,3.0,14,21.428571428571427
2015,5.0,25,20.0
2017,1.0,6,16.666666666666664
2018,7.0,11,63.63636363636363
2019,3.0,9,33.33333333333333
2020,6.0,9,66.66666666666666
2021,3.0,2,150.0
2023,4.0,2,200.0
2029,1.0,5,20.0
2040,1.0,1,100.0
2041,1.0,1,100.0
2042,1.0,1,100.0
2045,1.0,1,100.0
2051,1.0,3,33.33333333333333
2066,1.0,3,33.33333333333333
2067,2.0,4,50.0
2068,1.0,2,50.0
2069,1.0,2,50.0
2075,2.0,3,66.66666666666666
2077,1.0,3,33.33333333333333
2086,1.0,7,14.285714285714285
2095,1.0,2,50.0
2096,4.0,13,30.76923076923077
2097,5.0,38,13.157894736842104
