,Lines,Lon,VehicleNumber,Time,Lat,Brigade,Speed
28286,219,21.148563,1000,2024-02-19 10:27:30,52.186763,1,51.13552474561627
35363,213,21.1241483,1005,2024-02-19 10:29:47,52.2149551,4,51.10563152693265
49507,213,21.100349,1005,2024-02-19 10:33:44,52.215743,4,95.48281536500356
3544,L-8,20.944074,10071,2024-02-19 10:20:05,52.399755,1,51.749567775368284
38902,L-8,21.0014546,10071,2024-02-19 10:30:44,52.3955285,1,50.63158424039153
3547,L24,21.0382961,10074,2024-02-19 10:20:07,52.0628696,696,55.083570720442374
12384,L-8,21.0434841,10075,2024-02-19 10:22:50,52.3968056,02,55.46606804688708
30066,L-8,21.0413773,10075,2024-02-19 10:28:07,52.3818278,02,54.229205814282196
47745,L-8,21.0450868,10075,2024-02-19 10:33:26,52.3944158,02,51.15644274892839
22995,213,21.102954,1009,2024-02-19 10:26:03,52.2134421,2,51.64820622938609
40683,192,21.017729,1021,2024-02-19 10:31:11,52.159069,1,56.042782923465595
42450,192,21.017715,1021,2024-02-19 10:31:40,52.163418,1,60.031573930076746
44217,192,21.01829,1021,2024-02-19 10:32:11,52.167637,1,54.66980738936311
30078,192,21.017467,1024,2024-02-19 10:28:09,52.167744,5,54.2829280967027
31846,192,21.0171287,1024,2024-02-19 10:28:40,52.1629356,5,62.148464544764515
33614,192,21.0172734,1024,2024-02-19 10:29:15,52.157788,5,58.88284479715994
35382,192,21.017566,1024,2024-02-19 10:29:44,52.153667,5,56.93820230252945
26544,263,21.0175957,1026,2024-02-19 10:27:13,52.1590047,06,54.487724526356644
28312,263,21.017536,1026,2024-02-19 10:27:33,52.1619759,06,59.47334328925224
30080,263,21.0174632,1026,2024-02-19 10:28:08,52.1664809,06,51.527083256809476
12417,107,21.082555,1045,2024-02-19 10:22:47,52.1904983,4,51.55052232005881
8888,228,20.911663,1051,2024-02-19 10:21:23,52.205453,1,51.36886207616249
33651,263,21.105207,1062,2024-02-19 10:29:10,52.161396,4,50.113442599222
12436,108,21.083061,1065,2024-02-19 10:22:47,52.190582,5,52.53831019747323
47801,107,21.047968,1069,2024-02-19 10:33:26,52.208744,6,55.17920586763682
35431,200,21.1034684,1074,2024-02-19 10:29:47,52.1184876,2,62.57739983672957
37199,200,21.0989994,1074,2024-02-19 10:30:12,52.1214111,2,64.20112503534078
38967,200,21.0961897,1074,2024-02-19 10:30:42,52.1254625,2,58.75584665679701
40735,200,21.0982454,1074,2024-02-19 10:31:17,52.130401,2,58.2976194202246
46037,200,21.0962889,1074,2024-02-19 10:33:03,52.1429309,2,52.721226932527436
47806,200,21.094378,1074,2024-02-19 10:33:26,52.145866,2,55.00999449770722
42511,303,20.9324818,1109,2024-02-19 10:31:41,52.306357,1,56.08220827258017
1856,197,21.0028166,1118,2024-02-19 10:19:38,52.2664836,010,61.613906744063854
3623,197,21.0052621,1118,2024-02-19 10:20:03,52.262478,010,68.4689797104496
5390,197,21.0087683,1118,2024-02-19 10:20:33,52.2579841,010,66.4505110606371
19531,197,21.0150941,1118,2024-02-19 10:24:53,52.2622975,010,62.53504992007592
23068,197,21.026977,1118,2024-02-19 10:25:58,52.2656143,010,51.326208574820384
24837,197,21.03553,1118,2024-02-19 10:26:33,52.26756,010,63.86832366913076
7163,263,21.108349,1201,2024-02-19 10:21:13,52.166527,5,55.179612288348295
14232,263,21.092863,1201,2024-02-19 10:23:32,52.160847,5,57.54677742792818
28382,118,21.032448,1205,2024-02-19 10:27:34,52.230129,4,50.97238164052541
8943,139,21.095427,1216,2024-02-19 10:21:39,52.14381,62,52.0290054206576
10710,139,21.099319,1216,2024-02-19 10:22:27,52.137794,62,53.98105988407693
33695,139,21.1083407,1216,2024-02-19 10:29:15,52.1145454,62,58.03731553635644
44301,139,21.1042887,1216,2024-02-19 10:32:19,52.1059187,62,53.5167939270425
24860,251,21.038471,1221,2024-02-19 10:26:36,52.176487,64,52.98567324998605
